task,test/test_acc,test/test_acc_task_0,test/test_acc_task_1,test/test_acc_task_2,test/test_acc_task_3,test/test_acc_task_4,experiment
0,0.9995272159576416,0.9995272159576416,,,,,vcl
1,0.9919281601905823,0.9995272159576416,0.984329104423523,,,,vcl
2,0.9904140035311381,0.9990543723106384,0.9828599691390991,0.9893276691436768,,,vcl
3,0.9918211698532104,0.9995272159576416,0.9813907742500305,0.9903948903083801,0.9959717988967896,,vcl
4,0.988126528263092,0.9990543723106384,0.9760039448738098,0.9882603883743286,0.995468258857727,0.9818456768989563,vcl
0,0.9995659722222222,0.9995659722222222,,,,,si
1,0.9983122824794717,0.9995659722222222,0.997058592736721,,,,si
2,0.9952941258196478,0.9995659722222222,0.987292967736721,0.9990234375,,,si
3,0.9967118050489161,0.9995659722222222,0.9892343729734421,0.99853515625,0.99951171875,,si
4,0.9952565636899736,0.9995659722222222,0.990222655236721,0.9970703125,0.993496298789978,0.9959275797009468,si
0,0.9995659722222222,0.9995659722222222,,,,,baseline
1,0.9983181423611112,0.9995659722222222,0.9970703125,,,,baseline
2,0.9913644387766167,0.9995659722222222,0.9750156253576279,0.99951171875,,,baseline
3,0.9800285369985633,0.9969618055555556,0.9285234361886978,0.99560546875,0.9990234375,,baseline
4,0.980855769912402,0.9973958333333334,0.9192460924386978,0.994140625,0.996914267539978,0.99658203125,baseline
