task,test/test_acc,test/test_acc_task_0,test/test_acc_task_1,test/test_acc_task_2,test/test_acc_task_3,test/test_acc_task_4,test/test_acc_task_5,test/test_acc_task_6,test/test_acc_task_7,test/test_acc_task_8,test/test_acc_task_9,experiment
0.0,0.96474609375,0.96474609375,,,,,,,,,,vcl regression homoscedastic
1.0,0.9244140624999999,0.96181640625,0.88701171875,,,,,,,,,vcl regression homoscedastic
2.0,0.9056315104166668,0.9595703125,0.8732421875,0.88408203125,,,,,,,,vcl regression homoscedastic
3.0,0.8965576171875,0.956640625,0.8685546875,0.87626953125,0.884765625,,,,,,,vcl regression homoscedastic
4.0,0.8912695312500001,0.9548828125,0.860546875,0.87431640625,0.87607421875,0.89052734375,,,,,,vcl regression homoscedastic
5.0,0.8832519531250002,0.9517578125,0.85185546875,0.87294921875,0.869140625,0.87236328125,0.8814453125,,,,,vcl regression homoscedastic
6.0,0.8777483258928571,0.95048828125,0.84453125,0.86044921875,0.8658203125,0.86630859375,0.8703125,0.886328125,,,,vcl regression homoscedastic
7.0,0.87720947265625,0.95009765625,0.83935546875,0.86396484375,0.8640625,0.86689453125,0.86845703125,0.8826171875,0.8822265625,,,vcl regression homoscedastic
8.0,0.8733072916666667,0.94560546875,0.83349609375,0.86181640625,0.85986328125,0.86513671875,0.86025390625,0.87939453125,0.87626953125,0.8779296875,,vcl regression homoscedastic
9.0,0.869921875,0.9427734375,0.8306640625,0.8572265625,0.84619140625,0.85751953125,0.85751953125,0.87294921875,0.87734375,0.878125,0.87890625,vcl regression homoscedastic
