task,test/test_acc,test/test_rmse,experiment
0.0,0.96474609375,0.07779104262590408,vcl regression homoscedastic
1.0,0.9244140624999999,0.10787957906723022,vcl regression homoscedastic
2.0,0.9056315104166668,0.11917469650506973,vcl regression homoscedastic
3.0,0.8965576171875,0.12476164102554321,vcl regression homoscedastic
4.0,0.8912695312500001,0.12917684018611908,vcl regression homoscedastic
5.0,0.8832519531250002,0.13473258912563324,vcl regression homoscedastic
6.0,0.8777483258928571,0.13702628016471863,vcl regression homoscedastic
7.0,0.87720947265625,0.13792677223682404,vcl regression homoscedastic
8.0,0.8733072916666667,0.1395292729139328,vcl regression homoscedastic
9.0,0.869921875,0.14211587607860565,vcl regression homoscedastic
0.0,0.80771484375,0.1932842880487442,vcl regression heteroscedastic
1.0,0.62080078125,0.22706496715545654,vcl regression heteroscedastic
2.0,0.621875,0.2412574738264084,vcl regression heteroscedastic
3.0,0.66328125,0.24340619146823883,vcl regression heteroscedastic
4.0,0.591171875,0.25091496109962463,vcl regression heteroscedastic
5.0,0.5716634114583333,0.2489723116159439,vcl regression heteroscedastic
6.0,0.5544642857142857,0.25385233759880066,vcl regression heteroscedastic
7.0,0.55994873046875,0.25594189763069153,vcl regression heteroscedastic
8.0,0.5274197048611111,0.2658928334712982,vcl regression heteroscedastic
9.0,0.48991210937499996,0.26929235458374023,vcl regression heteroscedastic
0.0,0.9833984375,,vcl
1.0,0.975634765625,,vcl
2.0,0.96982421875,,vcl
3.0,0.960498046875,,vcl
4.0,0.956015625,,vcl
5.0,0.9520833333333334,,vcl
6.0,0.9488560267857142,,vcl
7.0,0.946923828125,,vcl
8.0,0.9444661458333332,,vcl
9.0,0.9400292968749999,,vcl
